2025-06-19 14:21:34 INFO     {'input_dim': 88, 'z_dim': 10, 'batch_size': 20, 'epochs': 1000, 'min_epochs': 2, 'lr': 0.0003, 'beta1': 0.96, 'beta2': 0.999, 'clip_norm': 20.0, 'anneal_epochs': 1000, 'min_anneal': 0.1}
2025-06-19 14:21:38 INFO     [Epoch 0000]		(dt = 2.657 sec)
2025-06-19 14:21:38 INFO     [train epoch 00000000]  0.05453359
2025-06-19 14:21:38 INFO     [test epoch 00000000]  0.05735964
2025-06-19 14:22:01 INFO     [Epoch 0010]		(dt = 23.775 sec)
2025-06-19 14:22:01 INFO     [train epoch 00000010]  0.05333345
2025-06-19 14:22:02 INFO     [test epoch 00000010]  0.05607678
2025-06-19 14:22:25 INFO     [Epoch 0020]		(dt = 23.895 sec)
2025-06-19 14:22:25 INFO     [train epoch 00000020]  0.05216340
2025-06-19 14:22:26 INFO     [test epoch 00000020]  0.05483130
2025-06-19 14:22:49 INFO     [Epoch 0030]		(dt = 23.847 sec)
2025-06-19 14:22:49 INFO     [train epoch 00000030]  0.05102439
2025-06-19 14:22:49 INFO     [test epoch 00000030]  0.05362172
2025-06-19 14:23:13 INFO     [Epoch 0040]		(dt = 23.773 sec)
2025-06-19 14:23:13 INFO     [train epoch 00000040]  0.04991945
2025-06-19 14:23:13 INFO     [test epoch 00000040]  0.05244506
2025-06-19 14:23:36 INFO     [Epoch 0050]		(dt = 23.579 sec)
2025-06-19 14:23:36 INFO     [train epoch 00000050]  0.04883734
2025-06-19 14:23:37 INFO     [test epoch 00000050]  0.05129860
2025-06-19 14:24:00 INFO     [Epoch 0060]		(dt = 23.681 sec)
2025-06-19 14:24:00 INFO     [train epoch 00000060]  0.04777867
2025-06-19 14:24:00 INFO     [test epoch 00000060]  0.05018025
2025-06-19 14:24:24 INFO     [Epoch 0070]		(dt = 23.524 sec)
2025-06-19 14:24:24 INFO     [train epoch 00000070]  0.04674328
2025-06-19 14:24:24 INFO     [test epoch 00000070]  0.04908793
2025-06-19 14:24:47 INFO     [Epoch 0080]		(dt = 23.583 sec)
2025-06-19 14:24:47 INFO     [train epoch 00000080]  0.04573266
2025-06-19 14:24:48 INFO     [test epoch 00000080]  0.04801994
2025-06-19 14:25:11 INFO     [Epoch 0090]		(dt = 23.857 sec)
2025-06-19 14:25:11 INFO     [train epoch 00000090]  0.04473627
2025-06-19 14:25:11 INFO     [test epoch 00000090]  0.04697454
2025-06-19 14:25:35 INFO     [Epoch 0100]		(dt = 23.920 sec)
2025-06-19 14:25:35 INFO     [train epoch 00000100]  0.04376740
2025-06-19 14:25:35 INFO     [test epoch 00000100]  0.04595054
2025-06-19 14:25:59 INFO     [Epoch 0110]		(dt = 24.044 sec)
2025-06-19 14:25:59 INFO     [train epoch 00000110]  0.04280954
2025-06-19 14:25:59 INFO     [test epoch 00000110]  0.04494672
2025-06-19 14:26:23 INFO     [Epoch 0120]		(dt = 23.914 sec)
2025-06-19 14:26:23 INFO     [train epoch 00000120]  0.04187436
2025-06-19 14:26:23 INFO     [test epoch 00000120]  0.04396176
2025-06-19 14:26:47 INFO     [Epoch 0130]		(dt = 23.917 sec)
2025-06-19 14:26:47 INFO     [train epoch 00000130]  0.04095430
2025-06-19 14:26:47 INFO     [test epoch 00000130]  0.04299473
