
2025-06-19 17:16:42 INFO     {'input_dim': 88, 'z_dim': 100, 'emission_dim': 100, 'trans_dim': 200, 'rnn_dim': 600, 'temp': 1.0, 'dropout': 0.5, 'batch_size': 20, 'epochs': 500, 'min_epochs': 2, 'lr': 0.0003, 'beta1': 0.96, 'beta2': 0.999, 'clip_norm': 20.0, 'weight_decay': 2.0, 'anneal_epochs': 1000, 'min_anneal': 0.1}
2025-06-19 17:16:48 INFO     [Epoch 0000]		(dt = 4.270 sec)
2025-06-19 17:16:48 INFO     [train epoch 00000000]  0.00186155
2025-06-19 17:16:48 INFO     [test epoch 00000000]  0.00884638
2025-06-19 17:17:23 INFO     [Epoch 0010]		(dt = 35.501 sec)
2025-06-19 17:17:23 INFO     [train epoch 00000010]  0.00064503
2025-06-19 17:17:24 INFO     [test epoch 00000010]  0.00100031
2025-06-19 17:17:59 INFO     [Epoch 0020]		(dt = 36.298 sec)
2025-06-19 17:17:59 INFO     [train epoch 00000020]  0.00062593
2025-06-19 17:18:00 INFO     [test epoch 00000020]  0.00083227
2025-06-19 17:18:36 INFO     [Epoch 0030]		(dt = 36.787 sec)
2025-06-19 17:18:36 INFO     [train epoch 00000030]  0.00061889
2025-06-19 17:18:37 INFO     [test epoch 00000030]  0.00076251
2025-06-19 17:19:13 INFO     [Epoch 0040]		(dt = 36.283 sec)
2025-06-19 17:19:13 INFO     [train epoch 00000040]  0.00061465
2025-06-19 17:19:13 INFO     [test epoch 00000040]  0.00072331
2025-06-19 17:19:49 INFO     [Epoch 0050]		(dt = 36.239 sec)
2025-06-19 17:19:49 INFO     [train epoch 00000050]  0.00061191
2025-06-19 17:19:49 INFO     [test epoch 00000050]  0.00069951
2025-06-19 17:20:25 INFO     [Epoch 0060]		(dt = 36.656 sec)
2025-06-19 17:20:25 INFO     [train epoch 00000060]  0.00060998
2025-06-19 17:20:26 INFO     [test epoch 00000060]  0.00068233
2025-06-19 17:21:03 INFO     [Epoch 0070]		(dt = 37.141 sec)
2025-06-19 17:21:03 INFO     [train epoch 00000070]  0.00060864
2025-06-19 17:21:03 INFO     [test epoch 00000070]  0.00067116
2025-06-19 17:21:39 INFO     [Epoch 0080]		(dt = 36.866 sec)
2025-06-19 17:21:39 INFO     [train epoch 00000080]  0.00060763
2025-06-19 17:21:40 INFO     [test epoch 00000080]  0.00066278
2025-06-19 17:22:17 INFO     [Epoch 0090]		(dt = 37.276 sec)
2025-06-19 17:22:17 INFO     [train epoch 00000090]  0.00060684
2025-06-19 17:22:17 INFO     [test epoch 00000090]  0.00065810
2025-06-19 17:22:54 INFO     [Epoch 0100]		(dt = 36.868 sec)
2025-06-19 17:22:54 INFO     [train epoch 00000100]  0.00060620
2025-06-19 17:22:54 INFO     [test epoch 00000100]  0.00065310
2025-06-19 17:23:31 INFO     [Epoch 0110]		(dt = 37.411 sec)
2025-06-19 17:23:31 INFO     [train epoch 00000110]  0.00060587
2025-06-19 17:23:32 INFO     [test epoch 00000110]  0.00065020
2025-06-19 17:24:08 INFO     [Epoch 0120]		(dt = 37.145 sec)
2025-06-19 17:24:08 INFO     [train epoch 00000120]  0.00060548
2025-06-19 17:24:09 INFO     [test epoch 00000120]  0.00064768
2025-06-19 17:24:45 INFO     [Epoch 0130]		(dt = 37.279 sec)
2025-06-19 17:24:45 INFO     [train epoch 00000130]  0.00060509
2025-06-19 17:24:46 INFO     [test epoch 00000130]  0.00064512
2025-06-19 17:25:23 INFO     [Epoch 0140]		(dt = 37.536 sec)
2025-06-19 17:25:23 INFO     [train epoch 00000140]  0.00060482
2025-06-19 17:25:24 INFO     [test epoch 00000140]  0.00064334
2025-06-19 17:26:01 INFO     [Epoch 0150]		(dt = 37.868 sec)
